Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study
"Multiple species animal movements: network properties, disease dynamics and the impact of targeted control actions","Cardenas, NC; Sykes, AL; Lopes, FPN; Machado, G","Infectious diseases in livestock are well-known to infect multiple hosts and persist through a combination of within- and between-host transmission pathways. Uncertainty remains about the epidemic dynamics of diseases being introduced on farms with more than one susceptible host species. Here, we describe multi-host contact networks and elucidate the potential of disease spread through farms with multiple hosts. Four years of between-farm animal movement among all farms of a Brazilian state were described through a static and monthly snapshot of network representations. We developed a stochastic multilevel model to simulate scenarios in which infection was seeded into single host and multi-host farms to quantify disease spread potential, and simulate network-based control actions used to evaluate the reduction of secondarily infected farms. We showed that the swine network was more connected than cattle and small ruminants in both the static and monthly snapshots. The small ruminant network was highly fragmented, however, contributed to interconnecting farms, with other hosts acting as intermediaries throughout the networks. When a single host was initially infected, secondary infections were observed across farms with all other species. Our stochastic multi-host model demonstrated that targeting the top 3.25% of the farms ranked by degree reduced the number of secondarily infected farms. The results of the simulation highlight the importance of considering multi-host dynamics and contact networks while designing surveillance and preparedness control strategies against pathogens known to infect multiple species.",2022,VETERINARY RESEARCH,53,1,,10.1186/s13567-022-01031-2,#57,Cardenas 2022
Estimation of swine movement network at farm level in the US from the Census of Agriculture data,"Moon, SA; Ferdousi, T; Self, A; Scoglio, CM","Swine movement networks among farms/operations are an important source of information to understand and prevent the spread of diseases, nearly nonexistent in the United States. An understanding of the movement networks can help the policymakers in planning effective disease control measures. The objectives of this work are: (1) estimate swine movement probabilities at the county level from comprehensive anonymous inventory and sales data published by the United States Department of Agriculture - National Agriculture Statistics Service database, (2) develop a network based on those estimated probabilities, and (3) analyze that network using network science metrics. First, we use a probabilistic approach based on the maximum information entropy method to estimate the movement probabilities among different swine populations. Then, we create a swine movement network using the estimated probabilities for the counties of the central agricultural district of Iowa. The analysis of this network has found evidence of the small-world phenomenon. Our study suggests that the US swine industry may be vulnerable to infectious disease outbreaks because of the small-world structure of its movement network. Our system is easily adaptable to estimate movement networks for other sets of data, farm animal production systems, and geographic regions.",2019,SCIENTIFIC REPORTS,9,,,10.1038/s41598-019-42616-w,#58,Moon 2019
"The Distribution of Bovine Tuberculosis in Cattle Farms Is Linked to Cattle Trade and Badger-Mediated Contact Networks in South-Western France, 2007-2015","Bouchez-Zacria, M; Courcoul, A; Durand, B","Bovine tuberculosis (bTB), mainly caused by Mycobacterium bovis, can affect domestic and wild animals as well as humans. Identifying the major transmission mechanisms in an area is necessary for disease control and management. In this study, we aimed to evaluate the involvement of different types of contact in M. bovis transmission between cattle farms of south-western France between 2007 and 2015. We analyzed an empirical contact network of cattle farms as nodes, with known infection status and molecular types (16 circulated during the study period of which 14 affected only cattle and two both badgers and cattle). Edges were based on cattle trade data (T-edges) and on spatial neighborhood relationships between farms, either direct (P-edges) or badger-mediated, when two farms neighbored the same badger home range (B-edges), or two distinct but neighboring badger home ranges (D-edges). Edge types were aggregated so that the contact network contained only unique edges labeled by one or several edge types. The association between the contact network structure and bTB infection status was assessed using a non-parametric test, each molecular type being considered a marker of an independent epidemic. Using a logistic regression model, we estimated the contribution of each edge type to the probability for an edge originating from an infected farm to end at another infected farm. A total number of 1946 cattle farms were included in the study and were linked by 54,243 edges. Within this contact network, infected farms (whatever the molecular type) always belonged to the same component, suggesting the contact network may have supported bTB spread among those farms. A significant association between the pattern of bTB-infected farms and the structure of the contact network was observed when all the molecular types were simultaneously considered. The logistic regression model showed a significant association between M. bovis infection in direct neighbors of infected farms and the connection by T-, B- and D-edges, with odds-ratios of 7.4, 1.9, and 10.4, respectively. These results indicate a multifactorial M. bovis transmission between cattle farms of the studied area, with varying implication levels of the trade, pasture and badger networks according to the molecular type.",2018,FRONTIERS IN VETERINARY SCIENCE,5,,,10.3389/fvets.2018.00173,#68,Bouchez-Zacria 2018
A multi-analysis approach for space-time and economic evaluation of risks related with livestock diseases: The example of FMD in Peru,"Martínez-López, B; Ivorra, B; Fernández-Carrión, E; Perez, AM; Medel-Herrero, A; Sánchez-Vizcaíno, F; Gortázar, C; Ramos, AM; Sánchez-Vizcaíno, JM","This study presents a multi-disciplinary decision-support tool, which integrates geostatistics, social network analysis (SNA), spatial-stochastic spread model, economic analysis and mapping/visualization capabilities for the evaluation of the sanitary and socioeconomic impact of livestock diseases under diverse epidemiologic scenarios. We illustrate the applicability of this tool using foot-and-mouth disease (FMD) in Peru as an example. The approach consisted on a flexible, multistep process that may be easily adapted based on data availability. The first module (ml) uses a geo-statistical approach for the estimation (if needed) of the distribution and abundance of susceptible population (in the example here, cattle, swine, sheep, goats, and camelids) at farm-level in the region or country of interest (Peru). The second module (mII) applies SNA for evaluating the farm-to-farm contact patterns and for exploring the structure and frequency of between-farm animal movements as a proxy for potential disease introduction or spread. The third module (mill) integrates mI-II outputs into a spatial-stochastic model that simulates within- and between-farm FMD-transmission. The economic module (mIV) connects outputs from mI III to provide an estimate of associated direct and indirect costs. A visualization module (mV) is also implemented to graph and map the outputs of module I IV. After 1000 simulated epidemics, the mean (95% probability interval) number of outbreaks, infected animals, epidemic duration, and direct costs were 37 (1, 1164), 2152 (1, 13, 250), 63 days (0, 442), and US$ 1.2 million (1072, 9.5 million), respectively. Spread of disease was primarily local (<4.5 km), but geolocation and type of index farm strongly influenced the extent and spatial patterns of an epidemic. The approach is intended to support decisions in the last phase of the FMD eradication program in Peru, in particular to inform and support the implementation of riskbased surveillance and livestock insurance systems that may help to prevent and control potential FMD virus incursions into Peru. (c) 2014 Elsevier BM. All rights reserved.",2014,PREVENTIVE VETERINARY MEDICINE,114,1,47-63,10.1016/j.prevetmed.2014.01.013,#69,Martínez-López 2014
Analysis of Swine Movements in a Province in Northern Vietnam and Application in the Design of Surveillance Strategies for Infectious Diseases,"Baudon, E; Fournié, G; Hiep, DT; Pham, TTH; Duboz, R; Gély, M; Peiris, M; Cowling, BJ; Ton, VD; Peyre, M","While swine production is rapidly growing in South-East Asia, the structure of the swine industry and the dynamic of pig movements have not been well-studied. However, this knowledge is a prerequisite for understanding the dynamic of disease transmission in swine populations and designing cost-effective surveillance strategies for infectious diseases. In this study, we assessed the farming and trading practices in the Vietnamese swine familial farming sector, which accounts for most pigs in Vietnam, and for which disease surveillance is a major challenge. Farmers from two communes of a Red River Delta Province (northern Vietnam) were interviewed, along with traders involved in pig transactions. Major differences in the trade structure were observed between the two communes. One commune had mainly transversal trades, that is between farms of equivalent sizes, whereas the other had pyramidal trades, that is from larger to smaller farms. Companies and large familial farrow-to-finish farms were likely to act as major sources of disease spread through pig sales, demonstrating their importance for disease control. Familial fattening farms with high pig purchases were at greater risk of disease introduction and should be targeted for disease detection as part of a risk-based surveillance. In contrast, many other familial farms were isolated or weakly connected to the swine trade network limiting their relevance for surveillance activities. However, some of these farms used boar hiring for breeding, increasing the risk of disease spread. Most familial farms were slaughtering pigs at the farm or in small local slaughterhouses, making the surveillance at the slaughterhouse inefficient. In terms of spatial distribution of the trades, the results suggested that northern provinces were highly connected and showed some connection with central and southern provinces. These results are useful to develop risk-based surveillance protocols for disease detection in the swine familial sector and to make recommendations for disease control.",2017,TRANSBOUNDARY AND EMERGING DISEASES,64,2,411-424,10.1111/tbed.12380,#71,Baudon 2017
Prediction of Pig Trade Movements in Different European Production Systems Using Exponential Random Graph Models,"Relun, A; Grosbois, V; Alexandrov, T; Sánchez-Vizcaíno, JM; Waret-Szkuta, A; Molia, S; Etter, EMC; Martinez-López, B","In most European countries, data regarding movements of live animals are routinely collected and can greatly aid predictive epidemic modeling. However, the use of complete movements' dataset to conduct policy-relevant predictions has been so far limited by the massive amount of data that have to be processed (e.g., in intensive commercial systems) or the restricted availability of timely and updated records on animal movements (e.g., in areas where small-scale or extensive production is predominant). The aim of this study was to use exponential random graph models (ERGMs) to reproduce, understand, and predict pig trade networks in different European production systems. Three trade networks were built by aggregating movements of pig batches among premises (farms and trade operators) over 2011 in Bulgaria, Extremadura (Spain), and Cotes-d'Armor (France), where small-scale, extensive, and intensive pig production are predominant, respectively. Three ERGMs were fitted to each network with various demographic and geographic attributes of the nodes as well as six internal network configurations. Several statistical and graphical diagnostic methods were applied to assess the goodness of fit of the models. For all systems, both exogenous (attribute-based) and endogenous (network-based) processes appeared to govern the structure of pig trade network, and neither alone were capable of capturing all aspects of the network structure. Geographic mixing patterns strongly structured pig trade organization in the small-scale production system, whereas belonging to the same company or keeping pigs in the same housing system appeared to be key drivers of pig trade, in intensive and extensive production systems, respectively. Heterogeneous mixing between types of production also explained a part of network structure, whichever production system considered. Limited information is thus needed to capture most of the global structure of pig trade networks. Such findings will be useful to simplify trade networks analysis and better inform European policy makers on risk-based and more cost-effective prevention and control against swine diseases such as African swine fever, classical swine fever, or porcine reproductive and respiratory syndrome.",2017,FRONTIERS IN VETERINARY SCIENCE,4,,,10.3389/fvets.2017.00027,#73,Relun 2017
Modeling the live-pig trade network in Georgia: Implications for disease prevention and control,"Kukielka, EA; Martínez-López, B; Beltrán-Alcrudo, D","Live pig trade patterns, drivers and characteristics, particularly in backyard predominant systems, remain largely unexplored despite their important contribution to the spread of infectious diseases in the swine industry. A better understanding of the pig trade dynamics can inform the implementation of risk-based and more cost-effective prevention and control programs for swine diseases. In this study, a semi-structured questionnaire elaborated by FAO and implemented to 487 farmers was used to collect data regarding basic characteristics about pig demographics and live-pig trade among villages in the country of Georgia, where very scarce information is available. Social network analysis and exponential random graph models were used to better understand the structure, contact patterns and main drivers for pig trade in the country. Results indicate relatively infrequent (a total of 599 shipments in one year) and geographically localized (median Euclidean distance between shipments = 6.08 km; IQR = 0-13.88 km) pig movements in the studied regions. The main factors contributing to live-pig trade movements among villages were being from the same region (i.e., local trade), usage of a middleman or a live animal market to trade live pigs by at least one farmer in the village, and having a large number of pig farmers in the village. The identified villages' characteristics and structural network properties could be used to inform the design of more cost-effective surveillance systems in a country which pig industry was recently devastated by African swine fever epidemics and where backyard production systems are predominant.",2017,PLOS ONE,12,6,,10.1371/journal.pone.0178904,#75,Kukielka 2017
Social network analysis provides insights into African swine fever epidemiology,"Lichoti, JK; Davies, J; Kitala, PM; Githigia, SM; Okoth, E; Maru, Y; Bukachi, SA; Bishop, RP","Pig movements play a significant role in the spread of economically important infectious diseases such as the African swine fever. Characterization of movement networks between pig farms and through other types of farm and household enterprises that are involved in pig value chains can provide useful information on the role that different participants in the networks play in pathogen transmission. Analysis of social networks that underpin these pig movements can reveal pathways that are important in the transmission of disease, trade in commodities, the dissemination of information and the influence of behavioural norms. We assessed pig movements among pig keeping households within West Kenya and East Uganda and across the shared Kenya Uganda border in the study region, to gain insight into within country and trans-boundary pig movements. Villages were sampled using a randomized cluster design. Data were collected through interviews in 2012 and 2013 from 683 smallholder pig-keeping households in 34 villages. NodeXL software was used to describe pig movement networks at village level. The pig movement and trade networks were localized and based on close social networks involving family ties, friendships and relationships with neighbours. Pig movement network modularity ranged from 0.2 to 0.5 and exhibited good community structure within the network implying an easy flow of knowledge and adoption of new attitudes and beliefs, but also promoting an enhanced rate of disease transmission. The average path length of 5 defined using NodeXL, indicated that disease could easily reach every node in a cluster. Cross-border boar service between Uganda and Kenya was also recorded. Unmonitored trade in both directions was prevalent. While most pig transactions in the absence of disease, were at a small scale (<5 km) and characterized by regular agistment, most pig sales during ASF outbreaks were to traders or other farmers from outside the sellers' village at a range of >10 km. The close social relationships between actors in pig movement networks indicate the potential for possible interventions to develop shared norms and mutually accepted protocols amongst smallholder pig keepers to better manage the risk of ASF introduction and transmission. (C) 2016 Elsevier B.V. All rights reserved.",2016,PREVENTIVE VETERINARY MEDICINE,126,,10-Jan,10.1016/j.prevetmed.2016.01.019,#76,Lichoti 2016
Understanding Pig and Poultry Trade Networks and Farming Practices Within the Pacific Islands as a Basis for Surveillance,"Brioudes, A; Gummow, B","Pacific Island countries have large pig and poultry populations. Yet little is known about patterns of contact between animals and how this influences disease spread in these islands. The objectives of this study were to examine farmer practices and the movements of pig and poultry within the Pacific Islands using questionnaires and social network analysis (SNA) tools to understand disease spread in the region. Questionnaire-based surveys were conducted in Fiji, Papua New Guinea (PNG), Solomon Islands and Vanuatu with interviews of 310 pig farmers and 491 poultry farmers. Pacific Island farmers were found to have few animals (median = 7 pigs/farm, IQR 4-12), (median = 50 chicken/farm, IQR 23-52), (median = 10 ducks/farm, IQR 4-25), (median = 12 Muscovy ducks/farm, IQR 7-28) and a diversified number of species. A large proportion of farmers (44.6-1.3%) do not implement any preventive or control measures, yet the majority (80.6-88%) did not experience any animal diseases over the past 12 months. Most farmers never ask for veterinary care, never engage in laboratory testing and do not report when their animals show clinical signs. Many pig farmers (31.8%) trade within their communities only and sell (24.5%) directly to consumers which reduces the risk of diseases spreading. Our results show an association between farmers that report having had disease on their farm in the past 12 months and movements of animals on and off their farms. The capitals of the studied provinces in PNG, Vanuatu and Solomon Islands were identified as the most connected nodes of both pig and poultry trade, while Fiji networks appeared much less connected. Our study found that farmer practices increased the risk of disease spread, but this was currently limited by trading practices. The SNA results serve as a basis for more targeted disease surveillance and better use of available resources for disease prevention and control.",2017,TRANSBOUNDARY AND EMERGING DISEASES,64,1,284-299,10.1111/tbed.12370,#77,Brioudes 2017
Impact of Network Activity on the Spread of Infections Diseases through the German Pig Trade Network,"Lebl, K; Lentz, HHK; Pinior, B; Selhorst, T","The trade of livestock is an important and growing economic sector, but it is also a major factor in the spread of diseases. The spreading of diseases in a trade network is likely to be influenced by how often existing trade connections are active. The activity a is defined as the mean frequency of occurrences of existing trade links, thus 0 < alpha <= 1. The observed German pig trade network had an activity of alpha = 0.11, thus each existing trade connection between two farms was, on average, active at about 10% of the time during the observation period 2008-2009. The aim of this study is to analyze how changes in the activity level of the German pig trade network influence the probability of disease outbreaks, size, and duration of epidemics for different disease transmission probabilities. Thus, we want to investigate the question, whether it makes a difference for a hypothetical spread of an animal disease to transport many animals at the same time or few animals at many times. A SIR model was used to simulate the spread of a disease within the German pig trade network. Our results show that for transmission probabilities < 1, the outbreak probability increases in the case of a decreased frequency of animal transports, peaking range of a from 0.05 to 0.1. However, for the final outbreak size, we find that a threshold exists such that finite outbreaks occur only above a critical value of a, which is similar to 0.1, and therefore in proximity of the observed activity level. Thus, although the outbreak probability increased when decreasing a, these outbreaks affect only a small number of farms. The duration of the epidemic peaks at an activity level in the range of alpha = 0.2-0.3. Additionally, the results of our simulations show that even small changes in the activity level of the German pig trade network would have dramatic effects on outbreak probability, outbreak size, and epidemic duration. Thus, we can conclude and recommend that the network activity is an important aspect, which should be taken into account when modeling the spread of diseases within trade networks.",2016,FRONTIERS IN VETERINARY SCIENCE,3,,,10.3389/fvets.2016.00048,#78,Lebl 2016
