study,journal,title,year_published,doi,prompts,country,country_region,country_region_note,animal_pop,data_extraction,data_start,data_end,continuous,continuous_note,exceptions_any,exceptions_any_note,descrip_age,descrip_sex,descrip_breed,descrip_premisetype,descrip_other,disease_outcome,disease_outcome_note,nodes,nodes_number,edges,edges_number,edges_weighted,edges_weighted_note,exclusions,n_networks,directed_network,temporality,temporality_note,software,methology_used,network_measures,community_detection,community_detection_qualityfunction,relevance_results,barriers,recommendations,note
Acosta 2022,Transboundary and Emerging Diseases,Network analysis of pig movements in Ecuador: Strengthening surveillance of classical swine fever,2022,10.1111/tbed.14640,improve disease mitigation strategies,ECU,N,-,swine,Veterinary Service database,2017,2019,Y,-,N,-,Y,Y,N,Y,-,Y,classical swine fever,parish of premises,"Annual average networks had 76,205 nodes; Monthly average networks had 12,457.03 nodes ",number of movements; number of animals,"Annual average networks had 250,334 edges. Monthly average networks had 20,861.19 edges",Y,number of animals,movements to slaughterplants,39,Y,Y,anual and monthly networks,R,"Anual and monthly network analysis to analyse causality of direct pathway transmission using k-test and comparing obversed connectivity between cases with the expected distribution of k-statistic (average number of observed cases that occured within one step of an infected case in the network k=1).  We assessed whether it was possible that the pattern of the observed disease outbreaks (cases) could be the result of network transmission, thus assessing its epidemiological relevance. For this purpose, we used a network of premises that specified the status of its nodes (not infected = 0, infected = 1) for each year and the cumulative period. Then, we compared the observed k-statistic with its permuted distribution, where case locations were randomly reassigned within the network through 1000 iterations.",betweenness; closeness; clustering coefficient; degree; density; diameter; average shortest path length; GSCC; GWCC;,Y,modularity - simulated annealing with Linkrank,"Community structure, spatial and temporal trends, could be considered by the surveillance system to improve its procedures and update the disease control and management policy that would allow the application of targeted or risk-based surveillance. These results provided a framework for future exploration that is relevant to the veterinary service and stakeholders to implement prevention and control strategies for CSF or any other infectious disease. The computed communities could be useful to implement a zoning strategy considered in the Ecuadorian CSF eradication project. ","However, unrecorded movements could occur with short distance movements, failures in the use or availability of the system and irregular movements; this represents limitations of the study coverage of backyard holdings.",the veterinary service could apply questionnaire surveys to establish the actual coverage of movements to and from backyard farms.,
Alarcón 2020,Transboundary and Emerging Diseases,Network analysis of pig movements in Argentina: Identification of key farms in the spread of infectious diseases and their biosecurity levels,2020,10.1111/tbed.13441,characterize the network of commercial pig population movements in Argentina for a better understanding of potential disease spread together with the identification of super-spreader farms for targeted control and surveillance measures,ARG,N,-,swine,Online Integrated Information Management System for Animal Health (SIGSA) by SENASA,2014,2017,Y,-,Y,Farms with <100 sows not required,N,Y,N,Y,-,Y,simulated not-specific,commercial producers or RENSPA,"The number of nodes in the genetic network (1,444) was higher than in the market (356) and finisher networks (855); from the 110 establishments officially registered as high genetic merit breeder suppliers, 95, 94, 91 and 86 of them moved animals from 2014 to 2017, respectively; In the studied period, an average 215 (210 to 219) finishing holdings received animals. Finishers mainly received animals from an average 739 (647 to 783) commercial holdings, and only 96 (69 to 134) of the incoming movements were from another finisher farm.",number of movements; number of animals,"6693357 animals and 130966 movements over four years; 3417 genetic edges, 3238 finisher edges, 1317 market edges",Y,number of animals,"movements where origin and destination were the same farm; movements to slaughterplants; quarantine facilites, research purposes and undetermined records (small portion) ",12,Y,Y,grouped in anual networks for each type of swine production,R,"Anual networks were created for each type of movement type (genetic, finisher and market). Degree distribution of each type of networks for the year of 2017 were analyzed to determine whether they fitted a power-law distribution (to identify superspreaders) . Then, estimation of the R0 (basic reproduction number) of the genetic network based on average unweighted in and out-degrees/betweenness and variance and covariance of contact rates was calculated. 2010).  The  impact of targeted interventions on superspreaders was then evaluated in disease transmission. Genetic farms were listed in a descending order according to the total degree and betweenness values. Successive simulations were carried out, removing farms one by one, starting from those with the highest degree. Farms which contributed to a 90% R0 reduction value were identified in each network, according to any of the two removal criteria (total degree or betweenness). Finally, the relationship between super-spreader farms biosecurity scores and their contribution to the reduction of R0 was assessed based on data from a previous study.",graph diameter; average path length; clustering coefficient; reciprocity; modularity; betweeness; weighted and unweighted out- and in-degree; degree distribution; main cohesive blocks; number of components; GSCC; GWCC;,N,-,"The study allowed the idetnfication of superspreaders (2.87-4% of farms that if removed would allow for a 90% of the R0). Those farms are obvious targets for surveillance, contingency plans and improved biosecurity plans; as the super-spreader biosecurity scores vary between 0.11 and 0.80","86 registered movements of a total of 523,950 with obvious errors were discarded (e.g., unlikely number of animals transported in a single truck, etc);  The data used in the calculation of the biosecurity score were obtained from  surveys conducted by registered veterinarians (Senasa) and a panel of experts held in Argentina which  presents some limitations, since farmers' answers when being surveyed could be inaccurate;  monthly analyses or every 6 months were not performed since they reduce the number of nodes in the network significantly, network fragmentation is higher and indirect contacts are underestimated.; outgoing movements from fairs or markets were not being properly recorded by the system, as evidenced by the disproportionately higher number of ingoing movements compared with outgoing: most likely because outgoing movement DT-e forms were issued, but confirmation of arrival to destination was not registered by the recipient farm and was considered expired by the system.","need for educating all people involved in the recording of movements and raising awareness on the importance of having accurate data; A targeted plan for motivating all Argentinean farmers, especially super-spreader owners, as regards biosecurity improvement should be a national priority. In addition, targeted surveillance for critical pathogens should focus on those farms. Risk analysis estimating the entry pathways of different pathogens to super-spreaders, as well as an improvement in the biosecurity level of the receiving farms, is also highly needed to reduce the risk of disease spread in the country.",
Alocilla 2022,Preventive Veterinary Medicine,Network analysis of cattle movements in Chile: Implications for pathogen spread and control,2022,10.1016/j.prevetmed.2022.105644,"characterize flows of animal movements between herds for the Los Ríos Region, especially those that could be important to consider for BVD spread between herds IN THAT REGION (only within-region movements and incoming from other regions)",CHL,Y,"Los Rios region, significance in chilean dairy and beef industries and possibility of accessing data",cattle,National Program of Livestock Traceability (NPLT) databases,2016,2017,Y,Spring from September 23rd to December 20th; Summer from December 21st to March 20th; Autumn from March 21st to June 20th; Winter from June 21st to September 22nd.,N,-,N,N,Y,N,Herd size; Province location;,N,- ,animal holding,17.219 for whole network; 4.849 for LR-oN network,animal movements; indirect contacts via truck company or feed supplier,170.789 total; 29.438 Ranco total; 28.086 Valdivia total; 113.265 others total; LR-on 46.558,Y,number of movements,movement to slaughterplants; movements to other countries,18,Y,Y,"static and seasonal networks (4 seasons), for both whole and regional networks.",R,"We performed a descriptive analysis of the movement general characteristics by herd size, class, and location. Then, SNA was used to explore and characterize the contact structure among cattle herds in Los Rios Region. We estimated network and farm level metrics for a Region-broad network, which we called Whole network (WN) and a within-region network that we called Los Rios-only network (LR-oN) disaggregated by season networks were directed. Only the number of outgoing and incoming movements was considered; we do not consider the number of animals moved in each shipment. We disaggregated the network by season, looking for management practices connected to pasture availability // Network measures were calculated for a whole network (including nodes exporting to Los Rios region) and a regional nodes' network only. Finally, re-estimation for both networks removing markets was done to evaluate the effect of network on those holdings",in-degree; out-degree; degree distribution fitting; betweenness; eigenvector centrality; density; diameter; average shortest path length; reciprocity; assortativity coefficient; outgoing and ingoing contact chain,N,-,"a small proportion of nodes are responsible for most movements, showing right-skewed degree distribution; For pathogen transmission in southern Chile, markets can play a crucial role, not only connecting nodes that in other circumstances will not be reachable but also can be responsible for how fast a pathogen can spread between herds due to their high number of incoming and outgoing connections. This dominance of markets in centrality measures suggests that they can have a significant role as pathogen spreaders and be targeted for control and surveillance measures; In this sense, Marquetoux et al. (2016) indicate that network fragmentation can be achieved by removing central nodes that serve as bridges between them because they connect otherwise non-connected nodes or clusters, decreasing the probability of large epidemics. In addition, Natale et al. (2009) suggest that centrality measures can characterize holdings assessing the potential to cause epidemics, showing that when nodes with high eigenvector centrality values the seed for an infection a strong correlation with the extent of the epidemics appears; Live animals auction markets have a significant effect on masking underlying networks characteristics and variation in some metrics that are important for assessing the risk for pathogen spread; Study has shown that markets can be important source of infection to herds (increased odds of having high ingoing contact chain values). Moreover, markets seem to be the primary commercialization channel for small holding farmers. Markets can serve as bridges shortening pathways and increasing connectivity in the networks.","it is complex to assess the impact of this relationship because most of the connections do not correspond to direct connections from herds outside regions to holdings within the Los Rios Region; it is critical to remember that while evaluating these measures, the speed with which a pathogen might spread within a farm must be taken into account; we used a static network to represent a dynamic system in that all movements within a specified period are merged and the temporal order is lost; it was challenging to identify nodes that act as cattle dealers and differentiate between fattening and breeding herds because all of those nodes are registered as generic beef herds in the official database; weighting links and a lack of knowledge about the animals' residency period can be useful in determining the strength of relationships that may be significant for pathogen spread; Large static networks can mask connectivity features that arise in disaggregated networks; Control measures such as market movement restrictions or standsill periods might result in rewiring phenomenon, affecting connectivity and metric values; challenging to identify nodes that act as cattle dealers and differentiate between fattening and breeding herds because all of those nodes are registered as generic beef herds in the official database; static networks may over-represent the network's connectivity."," small herds movement features need to be further explored to assess in more detail for example if special considerations regarding control strategies need to be evaluated for this herd class, such as facilitating direct commercialization with slaughterhouses or promoting the increase of a specific disease-free status that ensures safe trade; These correlations show that other less dominant nodes can play a similar role even though highly dominant nodes were removed, pointing out that the network’s underlying features must be explored; surveillance or at least biosecurity measures prior to the introduction of animals purchased in markets is recommended due to the infectious potential given by the direct and indirect contacts of markets with herds with unknown or potential infected status; This information will enhance our understanding of the epidemiology of many endemic infectious diseases, and it will be helpful to implement a future Bovine Viral Diarrhea Virus (BVDV) pilot control program in the area for example. Exploring the connections between Provinces within the Los Rios Region can provide insights for compartmentalization or zoning strategies; important to consider the speed with which a pathogen might spread within a farm when considering measure implementation (short infectious duration versus more lenghty infectious period); Surveillance or biosecurity measures prior to introduction of animals purchased in markets is recommended due to infectious potential given by the direct and indirect contacts of markets with herds with unknown or potencial infected status.",
Andraud 2022,Transboundary and Emerging Diseases,Modelling African swine fever virus spread in pigs using time‚Äêrespective network data: Scientific support for decision makers,2022,10.1111/tbed.14550,"assess the extend to which ASF would spread among domestic pig holdings in France, as well as effectiveness of surveillance and control strategies.",FRA,N,-,swine,National Swine Movement Database (BDPORC),2017,2019,Y,-,N,-,N,N,N,Y,Truck identification,Y,simulated ASF,animal holding,"12,397",animal movements,"268,672 (with trucks considered - 916,271)",N,-,-,6,Y,Y,daily shipments assessed to build a simulation model (SEIR) between farms,R,"This study considered three transmission routes to simulate the spread of the infectious agent between production sites (multiscale model). The first is local transmission or within-herd, which did not include a network. Then, the other two were ""network driven transmissions"" and included two networks: animal introduction model - AIM -, which considers effective contacts through movement of live animals and the transit model - TM (accounts for complex rounds consisting of successive loading and unloading at different sites - using truck ID;  Three scenarios were considered, the baseline was a ""no-control"" spread, then, the other scenarios with control measures included a decreasing prevalence thresholdof infected animals",Network size; in-degree; out-degree,N,-,"The model identified animal movements as the pivotal transmission route, but local and mechanical transmission should not be neglected. Highly connected herds were identified as potential key spreaders - nucleus and multiplier herds - which have the longest outgoing contact chains. Conversely, finishing herds — high number of ingoing connections — appeared more vulnerable but were not at a high risk of spread because of their low number of outgoing connections; ","All herds were assumed to same similar biosecurity levels, which could improve the model if added; This approach allows for a rapid update of input data without any pre-treatment (raw data), which can be helpful to predict future outbreaks, however it is based on historical data (may raise the question of prediction quality in the event of an actual outbreak). ","Although live pig movements were identified as the main transmission route, the results evidenced the need of compliance with external biosecurity, to limit the transmission in the neighborhood of infected farms as well as disinfection of vehicles; Although playing a minor role in the transmission process, truck transit should not be neglected and complex rounds serving several production sites have to be considered in the tracking surveillance system; ERGMs offer a promising approach, allowing for characterizing the main factors governing the network structure, from which simulated networks can be generated - this way, these models would get free from historical/past data, improving outcome predictiveness.",
Aragao 2017,Pesquisa Veterinária Brasileira,Animal movement network analysis as a tool to map farms serving as contamination source in cattle cysticercosis,2017,10.1590/S0100-736X2017000400004,test the utility of an animal movement network constructed with data from a farm that acquires cattle from several other different farms to map the major contributors of cysticercosis propagation and apply control measures,BRA,Y,beef cattle farm in the Mato Grosso do Sul statem which is a prominent production region,beef cattle,"Animal Movement Permits from the official Brazilian Agencies of the states of Mato Grosso do Sul, São Paulo, Minas Gerais and Goiás.",2010,2012,Y,-,N,-,N,Y,Y,Y,-,Y,bovine cysticercosis,animal holding,429 total; 101 municipalities; 14 slaughterhouses; 8 auction markets; 407 farms,animal movements,1303 total,Y,number of movements,-,1,Y,Y,annual networks,R; Gephi,"To derive movements from this data, each livestock holding facility was used as a node in the network, being uniquely identified by assigning codes to its municipality, owner and holding names. Each edge connecting two nodes was represented by issued AMPs, where the municipalities of origin (tail) and destination (tip) were used to derive movement direction; A node became infected only if an AMP was issued indicating that an animal lot (infected) was moved from a given node A (origin) to a node B (destination)",network diameter; modularity; weighted in- and out-degree; betweenness,N,-,"decreased prevalence of cysticercosis after control measures were deployed; animals infected reached furtherest livestock holdings when 5 or more AMPs were issued, indicating that infected animals tends to readily spread between the farms of a given community and later reach farms of other communities; a useful tool for controlling and preventing bovine cysticercosis, thus minimizing economic losses and preventing human taeniasis; This study highlighted network properties that provided support information for planning strategies that could be applied to other diseases, and alerts to the importance of individual traceability as a more efficient tool for disease control and prevention.","Although at the present AMPs are one of the main tools adopted for traceability, it does not allow individual traceability, since the information they contain concerns animal lots and their movement",the adoption of the strategy of avoiding commercial trades with these farms that showed a greater risk of infection,
Arruda 2017,Transboundary and Emerging Diseases,"Investigation of the Occurrence of Porcine Reproductive and Respiratory Virus in Swine Herds Participating in an Area Regional Control and Elimination Project in Ontario, Canada",2017,10.1111/tbed.12343,"to make use of molecular, spatial and network data available from Ontario to conduct a disease investigation. The objectives were (i) to describe the PRRSV genotypes present in the area from 2012 to 2014 and (ii) to investigate spatial proximity and animal transportation network as potential risk factors for the spread of particular PRRSV genotypes",CAN,Y,Ontario; Watford project,swine,Warford PRRS Area and Regional Control and Elimination Project,2012,2014,Y,-,Y,voluntary site participation; type of trucking transport service,N,N,N,Y,Truck identification,Y,PRRS,swine sites; truck company,175 nodes in truck network; 136 swine farms and 39 truck companies,number of movements,134 edges,N,-,-,1,N,N,-,Gephi; R,"sequenced genotypes for PRRSV; point locations with 3km buffers; To investigate spatial proximity to other sites as a risk factor for being positive for a specific genotype, the exposure of interest for each study site was defined as having at least one neighbour within the 3-km buffer that was positive for that specific genotype, but was not in the same production system as the study site; A ‘trucking component’ was defined as a group of sites and truck companies that were directly or indirectly connected. The ‘scale-free’ nature of the network was evaluated and tested using the R version 3.0.2 package ‘poweRlaw’",average degree; network density; average degree; average path length; network density; network component; exposure of interest; number of swine sites in 3 km buffer; number of PRRSV positive sites within 3 km buffer; heat-producing unit; number of swine sites part of same network component,N,-,The most important finding of this study was that the existence of PRRSV-genotype-specific-positive swine sites in the transportation network that were located outside the same production system represented a significant risk factor for the spread of PRRSV G 1-8-4 and a potential risk factor for the spread of PRRSV G 1-3-2; transportation could be a constant high risk of disease spread in swine populations; scale-free small world trucking network; This study showed that regional disease control programmes such as the PRRS ARC&Es can be used effectively as the primary source of data for disease investigations,"the exact circumstances and the chain of events under which such transmissions occur are more difficult to elucidate due to gaps in biosecurity of trucks; based on prevalent cases of PRRSV-positive herds and not incident cases; Sample size was an issue because analysis was performed at the site level and in response to spread of PRRSV genotypes and this further impacted the models, as only a limited number of variables could be offered when performing the needed statistical analysis; possibility for misclassification bias for approximately 30% of the sites, for which a PRRSV status and/or ORF5 sequence, was not directly available","Further exploration of trucking networks needs to be conducted using actual movement networks; interventions at the truck company level would potentially diminish disease prevalence and spread, a few examples being avoiding the visit to multiple sites between car washes, planning visits considering health status and production type of sites, reducing contact between service providers and animals whenever possible, use of disposable boot covers, besides others; necessary to distinguish between sites in proximity and adjusting for ownership; essential that swine producers and herd veterinarians are committed to providing real-time updated accurate data and that diagnostic data are readily available; collaboration between researchers, herd veterinarians and diagnosticians should improve the speed of interventions and improve disease prevention, control and surveillance of infectious disease",
Avalos 2022,PloS one,Analysis of cattle movement networks in Paraguay: Implications for the spread and control of infectious diseases,2022,10.1371/journal.pone.0278999,"the objective of this work was to analyze and compare two cattle trade networks in Paraguay: the general cattle trade network (relevant for FMD), and the cow trade network (relevant for BB); in order to understand the propagation of exotic diseases (FMD in Paraguay) and mechanisms of circulation of enzootic diseases (BB in Paraguay)",PRY,N,-,cattle,SINOR database by SENACSA,2014,2018,Y,-,N,-,Y,Y,N,Y,Herd size per farm;,N,-,holding and district level,"72,096 global network for all cattle; 57,097 global network for only cows; average 41,251 nodes for annual networks for all cattle; average 9,436 nodes for monthly networks of all cattle",animal movements,"366,626 global network for all cattle; 126,359 global network for only cows; average 90,556 edges for annual networks for all cattle; average 9,283 edges for monthly networks of all cattle",N,-,movements to slaughterplants,132,Y,Y,"global, annual and monthly networks to compare different types of disease spread",R,"Networks were build for two types of networks depending on epidemiologic characteristics of two diseases: Network 1) FMD exotic disease fast spread including all cattle movements; Network 2) BB epizootic slow spread, including only adult cow movements;  These networks were explored considering two possible node types (holding and district levels) and at different time intervals (entire period, anual and monthly networks). A total of 264 networks were built and percolation analysis was performed at the holding level for the global and anual networks of all cattle and cows.",Network size; density; diameter; average degree; betweenness; average path length; assortativity; clustering coefficient; reciprocity; connected component; closeness;,Y,modularity - walktrap algorithm,"At the global and holding level the LSCC wasn't easily fragmented by removing the nodes with higher betweenness, meaning that controlling  long-distance (i.e. trade-mediated) spread of FMD would imply the total stoppage of commercial cattle activities; Holding networks had a stable heavy-tailed degree distribution over time, low average path lengths and an important variance-to-mean ratio of degrees, which  would allow for a rapid and persistent spread in the case of an outbreak of FMD or BB, which could potentially affect most nodes if appropriate control measures are not taken; The main hubs (high degree nodes) were markets, occupying a central position in the network and highly susceptible to infection, playing a pivotal role in the spread and maintenance of infection - ","static networks were used, do not take account the temporality of movements (temporal network methods in future studies should be used); cattle movements were  the only explored, but disease can these diseases can spread through multi-species","Targeted surveillance and control methods applied in markets could provide effective benefits for disease control; community identification could allow the authorities to first target control measures in the less affected communities, in order to gradually constitute brucellosis-free subpopulations, which could later provide healthy animals to other communities. Communities at the district level could also facilitate the enforcement of control measures by zones in the country. Control measures could include avaccination program and the requirement for BB vaccination certificates when trading cattle; Multiple susceptible species (depend on disease type) and other transmission routes (airborne, vehicles, livestock equipment) should be taken into account along with network analysis of animal movements.",
Awada 2021,Poultry Science,Global formal live poultry and hatching egg trade network (2004-2016): description and association with poultry disease reporting and presence,2021,10.1016/j.psj.2021.101322,"contribute to the understanding of the structure and dynamics of the global formal live poultry trade network, and to evaluate associations between trade behaviors and disease presence",193 United Nations Member States,N,-,poultry; hatching eggs,United Nations Comtrade; OIE WAHIS,2004,2016,Y,data exported until final update 2th May 2018 document,Y,"Data on poultry hatching eggs quantities (kg) only available for the 2012-2016 period, which was used for these networks.",Y,N,Y,N,Poultry weight; hatching egg data; price of products exchanged,Y,only total number of disease present at OIE annually by subregion block,country blocks,11 blocks by world subregions,number of movements; average number of poultry traded annually; average poultry quantities traded by directed link (imports vs exports) ,average annual 1600 directed trade links; poultry heads traded from 735 million in 2004 to 956 million in 2016; hatching eggs total weight from 227 thousands tons in 2012 to 362 thousand tons in 2015,Y,number of movements; number of animals,-,3,Y,Y,annual networks,R,"analyses were performed separately for 3 networks: 1) the network of live poultry lighter than 185 g; 2) the network of live poultry of 185 g or more; and 3) the network of poultry hatching eggs (network 3 for 2012-2016); First, characteristics of international trade networks were explored over time, then identification of countries acting as super exporter / super importers were identified using out and indegree's, respectively, and comparison with poultry disease reporting to OIE by country/block;",network size; network density; number of directed links; out-degree; in-degree; total degree; loyalty (fraction of common directed links between each pair of years),Y,modularity - bottom-up hierarchical agglomeration algorithm,"number of trade among countries are substantial and tend to increase; stability of the global network was low (only a quarter to half of relationships were maintained in each 2y); super-exporters were identified mainly in Northern America and Europe mostly while super-importers were manly in Africa, Asia and Europe, with some western european countries being simultaneously super-importers and exporters - superspreaders; super-exporters had more OIE listed poultry diseases reported  than other countries, consistently over years, meaning disease presence is not a barrier for export, when proper disease control is implemented and documented, as recommended by the OIE; Super-importers were typically in developing regions and had more OIE-listed poultry diseases reported present (high number of poultry diseases circulating) but reported less comparing to other countries, as their reporting systems may not be as extensive and regulated as other countries;  the information from this study shows that the risk of poultry disease spread through trade is both at global and regional levels; ","About 43% of countries had missing data for at least 1 year between (2004-2016) and missing quantity data when monetary values were present; hatching eggs data was missing until 2012; These gaps were partially sold by ""mirroring"" data from partnering countries and grouping non-reporting countries into subregion blocks, but this might underestimate links; Limitations related to variability among countries in national customs and other national systems may lead to underreporting; Methological limitations with community detection given that different methods obtained different community groups; importance of informal trade for disease spread would be relevant between neighboring countries, but there is not enough data to assess its importance over longer distances.","A future study exploring how other factors (such as implementation of surveillance and control measures or detection and diagnosis capacity) are correlated with trade levels and disease spread should be done; it would be interesting to overlap the international trade network with the evidence of international spread of poultry diseases over the same period (2004−2016), so that the role of international poultry trade in transboundary historical introductions of the diseases can be further assessed.",
Aznar 2011,Preventive Veterinary Medicine,"Analysis of cattle movements in Argentina, 2005",2011,10.1016/j.prevetmed.2010.11.004,"identify patterns of farm-to-farm cattle movements throughout Argentina and characterize connections made between districts as a result of cattle movements, and to show how these characteristics might influence infectious disease spread.",ARG,N,-,cattle,Sanitary Management System (SGS) database by the National Service Agrifood Health and Quality (SENASA),2004,2006,Y,"similar patterns across the years, only 2005 is presented.",N,-,N,N,N,Y,-,N,-,district of animal holding,506,animal movements,"1,300,000",N,-,only farm-to-farm movements were explored; imports and exports from/to other countries were excluded,4,Y,Y,temporality by each of 4 seasons was explored.,UCINET,"Four networks were built for farm-to-farm movements during summer, autumn, winter and spring and network parameters were calculated for each; scale-free properties were assessed for each; in- and out-degree and betweenness scores were plotted for each district and similarity of these network measures for districts defined as adjacent quantified using Moran's I statistic - to evaluate spatial autocorrelation in the network measure of interest.",Network size; number of directed links; diameter; in-degree; out-degree; betweenness; network density; geodesic distance; clustering coefficient; number of strong and weak components;,N,-,"Knowing the number and the identity of districts a given district sends stock to (out-degree) allows those planning a response to budget for sufficient staff, facilities and support for forward tracing; In the event of an outbreak of infectious disease spread by animal movement, betweenness scores provide useful information by identifying those districts ‘controlling’ the flow of cattle through the network.",incomplete georeferencing of individual farm locations in 2005 limited the analysis to district level.,-,
Bajardi 2011,PloS one,Dynamical Patterns of Cattle Trade Movements,2011,10.1371/journal.pone.0019869,study the emergence and robustness of network properties across time and the role of timescale of aggregation; explore the impact of dynamical evolution of the network (agent and system level) on the structural backbone of the system and the efficacy of control measures agains the spread of a disease; ,ITA,N,-,cattle,Italian National Bovine database by the Italian National Animal Identification and Registration Database,2007,2007,Y,-,N,-,N,N,N,N,-,N,-,animal holding,173139,number of movements; number of animals,"1,592,332 (annual)",Y,number of movements; number of animals, imports and exports from/to other countries were excluded,431,Y,Y,"daily, weekly, monthly, annual networks",-,"365 daily networks, 52 weekly networks, 13 monthly networks, and one annual network were constructed; the evolution of sizes among networks over time and how the properties of the network's elements fluctuate over time are then evaluated",network size; in-degree; out-degree; in-strength; out-strength,N,-,"The introduction of two different definitions of the weight is useful in order to explore whether there are any trivial correlations among the two quantities, and to assess the limits of the approximation that uses less detailed data; centrality of a node fluctuates strongly in time, thus preventing a straightforward static assessment of the spreading potential of premises that could be used for the definition of prevention and control measures; nodes and links forming the ""backbone"" of the network strongly vary depending on the time window considered, which has important implications for the dynamical phenomena occuring on the system --> evaluating information available at one point in time to devise contrainment strategies against an epidemic spreading event on the system would indeed lead to inefficient measures if applied at other times.","new challenge in the study of epidemic processes on dynamical substrates that continually evolve in time, with problems arising from the lack of stationarity, the interaction between multiple timescales, the strong dependence on the initial conditions, the presence of a non-reversible time direction, and others.",information at the individual level through tracking of each single animal gives an opportunity to describe two different levels of disease dynamics: the agent-centered point of view and the network point of view (focuses on the system behavior and evolution of the topology and links and nodes properties) - this is possible better in animal contact networks compared to human; Longer historical data may be of help in assessing the role of specific premises at high risk of flow-in/flow-out situations; Furthering our understanding of such systems through sophisticate tools of analysis and exploration of scenarios by modeling would be crucial to evaluate the behavior of such real-world systems under a disease emergency and help identify possible responses to minimize the epidemic impacts.,
